"filename", "language", "JSON", "Ignore", "JSON with Comments", "JavaScript", "Markdown", "SQLite", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\Boungo\Desktop\perso\levelUp\.claude\agents\business-advisor.md", "Markdown", 0, 0, 0, 0, 25, 0, 0, 0, 0, 6, 31
"c:\Users\Boungo\Desktop\perso\levelUp\.claude\agents\cosmetic-designer.md", "Markdown", 0, 0, 0, 0, 35, 0, 0, 0, 0, 11, 46
"c:\Users\Boungo\Desktop\perso\levelUp\.claude\agents\db-architect.md", "Markdown", 0, 0, 0, 0, 17, 0, 0, 0, 0, 4, 21
"c:\Users\Boungo\Desktop\perso\levelUp\.claude\agents\feature-builder.md", "Markdown", 0, 0, 0, 0, 24, 0, 0, 0, 0, 5, 29
"c:\Users\Boungo\Desktop\perso\levelUp\.claude\agents\git-manager.md", "Markdown", 0, 0, 0, 0, 21, 0, 0, 0, 0, 5, 26
"c:\Users\Boungo\Desktop\perso\levelUp\.claude\agents\retention-analyst.md", "Markdown", 0, 0, 0, 0, 32, 0, 0, 0, 0, 6, 38
"c:\Users\Boungo\Desktop\perso\levelUp\.claude\agents\test-runner.md", "Markdown", 0, 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\Boungo\Desktop\perso\levelUp\.claude\commands\feature.md", "Markdown", 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\Boungo\Desktop\perso\levelUp\.prettierignore", "Ignore", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Boungo\Desktop\perso\levelUp\.prettierrc", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Boungo\Desktop\perso\levelUp\CLAUDE.md", "Markdown", 0, 0, 0, 0, 35, 0, 0, 0, 0, 7, 42
"c:\Users\Boungo\Desktop\perso\levelUp\README.md", "Markdown", 0, 0, 0, 0, 51, 0, 0, 0, 0, 18, 69
"c:\Users\Boungo\Desktop\perso\levelUp\app.json", "JSON", 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\Boungo\Desktop\perso\levelUp\app\(auth)\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\Boungo\Desktop\perso\levelUp\app\(auth)\sign-in.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\Boungo\Desktop\perso\levelUp\app\(tabs)\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 2, 61
"c:\Users\Boungo\Desktop\perso\levelUp\app\(tabs)\profile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 175, 0, 5, 12, 192
"c:\Users\Boungo\Desktop\perso\levelUp\app\(tabs)\shop.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 222, 0, 3, 16, 241
"c:\Users\Boungo\Desktop\perso\levelUp\app\(tabs)\social.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 338, 0, 7, 11, 356
"c:\Users\Boungo\Desktop\perso\levelUp\app\(tabs)\stats.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 111, 0, 0, 10, 121
"c:\Users\Boungo\Desktop\perso\levelUp\app\(tabs)\today.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 128, 0, 0, 7, 135
"c:\Users\Boungo\Desktop\perso\levelUp\app\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 75, 0, 0, 11, 86
"c:\Users\Boungo\Desktop\perso\levelUp\app\achievements.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 82, 0, 0, 7, 89
"c:\Users\Boungo\Desktop\perso\levelUp\app\challenge\create.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 200, 0, 3, 12, 215
"c:\Users\Boungo\Desktop\perso\levelUp\app\habit\[id].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 283, 0, 4, 16, 303
"c:\Users\Boungo\Desktop\perso\levelUp\app\habit\create.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 141, 0, 0, 10, 151
"c:\Users\Boungo\Desktop\perso\levelUp\app\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\Boungo\Desktop\perso\levelUp\app\onboarding.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 206, 0, 3, 17, 226
"c:\Users\Boungo\Desktop\perso\levelUp\app\settings\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 240, 0, 5, 15, 260
"c:\Users\Boungo\Desktop\perso\levelUp\babel.config.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Boungo\Desktop\perso\levelUp\docs\adr\001-stack-technique.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 0, 0, 10, 36
"c:\Users\Boungo\Desktop\perso\levelUp\eslint.config.mjs", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Boungo\Desktop\perso\levelUp\jest.config.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 1, 1, 17
"c:\Users\Boungo\Desktop\perso\levelUp\package-lock.json", "JSON", 16120, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16121
"c:\Users\Boungo\Desktop\perso\levelUp\package.json", "JSON", 53, 0, 0, 0, 0, 0, 0, 0, 0, 1, 54
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\auth\__tests__\auth-store.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 64, 2, 16, 82
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\auth\components\auth-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 114, 0, 0, 10, 124
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\auth\hooks\use-auth.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 15, 0, 3, 18
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\auth\stores\auth-store.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 55, 0, 9, 64
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\avatar\renderer\pixel-avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 245, 0, 34, 25, 304
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\daily-quests\__tests__\daily-quest-card.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 112, 0, 0, 20, 132
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\daily-quests\__tests__\daily-quests-store.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 219, 6, 44, 269
