"filename", "language", "JSON", "SQLite", "TypeScript JSX", "TypeScript", "Markdown", "comment", "blank", "total"
"c:\Users\Boungo\Desktop\perso\levelUp\app.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Boungo\Desktop\perso\levelUp\app\(tabs)\_layout.tsx", "TypeScript JSX", 0, 0, 38, 0, 0, 0, 4, 42
"c:\Users\Boungo\Desktop\perso\levelUp\app\(tabs)\profile.tsx", "TypeScript JSX", 0, 0, 92, 0, 0, 2, 3, 97
"c:\Users\Boungo\Desktop\perso\levelUp\app\(tabs)\shop.tsx", "TypeScript JSX", 0, 0, 197, 0, 0, 12, 16, 225
"c:\Users\Boungo\Desktop\perso\levelUp\app\(tabs)\social.tsx", "TypeScript JSX", 0, 0, 285, 0, 0, 8, 29, 322
"c:\Users\Boungo\Desktop\perso\levelUp\app\(tabs)\stats.tsx", "TypeScript JSX", 0, 0, 40, 0, 0, 1, 3, 44
"c:\Users\Boungo\Desktop\perso\levelUp\app\(tabs)\today.tsx", "TypeScript JSX", 0, 0, 409, 0, 0, 22, 29, 460
"c:\Users\Boungo\Desktop\perso\levelUp\app\(tabs)\training.tsx", "TypeScript JSX", 0, 0, 389, 0, 0, 10, 21, 420
"c:\Users\Boungo\Desktop\perso\levelUp\app\_layout.tsx", "TypeScript JSX", 0, 0, 31, 0, 0, 0, 2, 33
"c:\Users\Boungo\Desktop\perso\levelUp\app\achievements.tsx", "TypeScript JSX", 0, 0, 171, 0, 0, 3, 7, 181
"c:\Users\Boungo\Desktop\perso\levelUp\app\challenge\create.tsx", "TypeScript JSX", 0, 0, 38, 0, 0, 1, 2, 41
"c:\Users\Boungo\Desktop\perso\levelUp\app\duels\battle.tsx", "TypeScript JSX", 0, 0, 499, 0, 0, 32, 63, 594
"c:\Users\Boungo\Desktop\perso\levelUp\app\duels\challenge.tsx", "TypeScript JSX", 0, 0, 172, 0, 0, 3, 13, 188
"c:\Users\Boungo\Desktop\perso\levelUp\app\duels\index.tsx", "TypeScript JSX", 0, 0, 170, 0, 0, 0, 11, 181
"c:\Users\Boungo\Desktop\perso\levelUp\app\habit\[id].tsx", "TypeScript JSX", 0, 0, 237, 0, 0, 3, 6, 246
"c:\Users\Boungo\Desktop\perso\levelUp\app\habit\archive.tsx", "TypeScript JSX", 0, 0, 188, 0, 0, 0, 10, 198
"c:\Users\Boungo\Desktop\perso\levelUp\app\habit\create.tsx", "TypeScript JSX", 0, 0, 67, 0, 0, 0, 2, 69
"c:\Users\Boungo\Desktop\perso\levelUp\app\habit\edit\[id].tsx", "TypeScript JSX", 0, 0, 189, 0, 0, 0, 13, 202
"c:\Users\Boungo\Desktop\perso\levelUp\app\habit\history.tsx", "TypeScript JSX", 0, 0, 320, 0, 0, 8, 25, 353
"c:\Users\Boungo\Desktop\perso\levelUp\app\index.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\Boungo\Desktop\perso\levelUp\app\onboarding.tsx", "TypeScript JSX", 0, 0, 64, 0, 0, 3, 3, 70
"c:\Users\Boungo\Desktop\perso\levelUp\app\profile\[userId].tsx", "TypeScript JSX", 0, 0, 274, 0, 0, 4, 24, 302
"c:\Users\Boungo\Desktop\perso\levelUp\app\profile\edit.tsx", "TypeScript JSX", 0, 0, 162, 0, 0, 1, 15, 178
"c:\Users\Boungo\Desktop\perso\levelUp\app\settings.tsx", "TypeScript JSX", 0, 0, 306, 0, 0, 7, 22, 335
"c:\Users\Boungo\Desktop\perso\levelUp\app\settings\contextual-mode.tsx", "TypeScript JSX", 0, 0, 280, 0, 0, 10, 19, 309
"c:\Users\Boungo\Desktop\perso\levelUp\app\settings\index.tsx", "TypeScript JSX", 0, 0, 33, 0, 0, 2, 4, 39
"c:\Users\Boungo\Desktop\perso\levelUp\app\settings\theme.tsx", "TypeScript JSX", 0, 0, 78, 0, 0, 0, 4, 82
"c:\Users\Boungo\Desktop\perso\levelUp\app\training\[id].tsx", "TypeScript JSX", 0, 0, 396, 0, 0, 12, 29, 437
"c:\Users\Boungo\Desktop\perso\levelUp\app\training\deck\[id].tsx", "TypeScript JSX", 0, 0, 349, 0, 0, 7, 22, 378
"c:\Users\Boungo\Desktop\perso\levelUp\app\weekly-recap.tsx", "TypeScript JSX", 0, 0, 341, 0, 0, 8, 29, 378
"c:\Users\Boungo\Desktop\perso\levelUp\app\xp-journey.tsx", "TypeScript JSX", 0, 0, 523, 0, 0, 19, 40, 582
"c:\Users\Boungo\Desktop\perso\levelUp\assets\samples\deck_javascript.json", "JSON", 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Boungo\Desktop\perso\levelUp\assets\samples\deck_spanish_b1.json", "JSON", 28, 0, 0, 0, 0, 0, 1, 29
"c:\Users\Boungo\Desktop\perso\levelUp\assets\samples\session_fullbody.json", "JSON", 47, 0, 0, 0, 0, 0, 1, 48
"c:\Users\Boungo\Desktop\perso\levelUp\assets\samples\session_hiit.json", "JSON", 45, 0, 0, 0, 0, 0, 1, 46
"c:\Users\Boungo\Desktop\perso\levelUp\docs\app-store\metadata.md", "Markdown", 0, 0, 0, 0, 33, 0, 22, 55
"c:\Users\Boungo\Desktop\perso\levelUp\package-lock.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 22
"c:\Users\Boungo\Desktop\perso\levelUp\package.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\avatar\components\avatar-display.tsx", "TypeScript JSX", 0, 0, 62, 0, 0, 0, 8, 70
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\avatar\utils\avatar-evolution.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 4, 32
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\daily-quests\components\daily-quest-card.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 1, 1, 25
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\daily-quests\components\daily-quests-section.tsx", "TypeScript JSX", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\duels\__tests__\attacks.test.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 7, 42
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\duels\__tests__\combat-engine.test.ts", "TypeScript", 0, 0, 0, 94, 0, 8, 15, 117
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\duels\stores\duel-store.ts", "TypeScript", 0, 0, 0, 175, 0, 11, 37, 223
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\duels\utils\attacks.ts", "TypeScript", 0, 0, 0, 27, 0, 5, 3, 35
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\duels\utils\combat-engine.ts", "TypeScript", 0, 0, 0, 104, 0, 9, 20, 133
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\gamification\components\achievement-card.tsx", "TypeScript JSX", 0, 0, 43, 0, 0, 0, 3, 46
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\gamification\stores\achievements-store.ts", "TypeScript", 0, 0, 0, 51, 0, 1, 6, 58
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\gamification\stores\profile-store.ts", "TypeScript", 0, 0, 0, 27, 0, 1, 8, 36
