"filename", "language", "JSON with Comments", "Ignore", "Markdown", "JSON", "SQLite", "TypeScript JSX", "JavaScript", "TypeScript", "comment", "blank", "total"
"c:\Users\Boungo\Desktop\perso\levelUp\.claude\agents\business-advisor.md", "Markdown", 0, 0, 25, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Users\Boungo\Desktop\perso\levelUp\.claude\agents\cosmetic-designer.md", "Markdown", 0, 0, 35, 0, 0, 0, 0, 0, 0, 11, 46
"c:\Users\Boungo\Desktop\perso\levelUp\.claude\agents\db-architect.md", "Markdown", 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\Boungo\Desktop\perso\levelUp\.claude\agents\feature-builder.md", "Markdown", 0, 0, 24, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\Boungo\Desktop\perso\levelUp\.claude\agents\git-manager.md", "Markdown", 0, 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\Boungo\Desktop\perso\levelUp\.claude\agents\retention-analyst.md", "Markdown", 0, 0, 32, 0, 0, 0, 0, 0, 0, 6, 38
"c:\Users\Boungo\Desktop\perso\levelUp\.claude\agents\test-runner.md", "Markdown", 0, 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Boungo\Desktop\perso\levelUp\.claude\commands\feature.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Boungo\Desktop\perso\levelUp\.prettierignore", "Ignore", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Boungo\Desktop\perso\levelUp\.prettierrc", "JSON", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Boungo\Desktop\perso\levelUp\CLAUDE.md", "Markdown", 0, 0, 35, 0, 0, 0, 0, 0, 0, 7, 42
"c:\Users\Boungo\Desktop\perso\levelUp\README.md", "Markdown", 0, 0, 51, 0, 0, 0, 0, 0, 0, 18, 69
"c:\Users\Boungo\Desktop\perso\levelUp\app.json", "JSON", 0, 0, 0, 48, 0, 0, 0, 0, 0, 1, 49
"c:\Users\Boungo\Desktop\perso\levelUp\app\(auth)\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\Boungo\Desktop\perso\levelUp\app\(auth)\sign-in.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\Boungo\Desktop\perso\levelUp\app\(tabs)\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 97, 0, 0, 0, 6, 103
"c:\Users\Boungo\Desktop\perso\levelUp\app\(tabs)\profile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 267, 0, 0, 7, 15, 289
"c:\Users\Boungo\Desktop\perso\levelUp\app\(tabs)\shop.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 419, 0, 0, 15, 32, 466
"c:\Users\Boungo\Desktop\perso\levelUp\app\(tabs)\social.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 623, 0, 0, 15, 40, 678
"c:\Users\Boungo\Desktop\perso\levelUp\app\(tabs)\stats.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 151, 0, 0, 1, 13, 165
"c:\Users\Boungo\Desktop\perso\levelUp\app\(tabs)\today.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 537, 0, 0, 22, 36, 595
"c:\Users\Boungo\Desktop\perso\levelUp\app\(tabs)\training.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 389, 0, 0, 10, 21, 420
"c:\Users\Boungo\Desktop\perso\levelUp\app\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 106, 0, 0, 0, 13, 119
"c:\Users\Boungo\Desktop\perso\levelUp\app\achievements.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 253, 0, 0, 3, 14, 270
"c:\Users\Boungo\Desktop\perso\levelUp\app\challenge\create.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 238, 0, 0, 4, 14, 256
"c:\Users\Boungo\Desktop\perso\levelUp\app\duels\battle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 499, 0, 0, 32, 63, 594
"c:\Users\Boungo\Desktop\perso\levelUp\app\duels\challenge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 172, 0, 0, 3, 13, 188
"c:\Users\Boungo\Desktop\perso\levelUp\app\duels\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 170, 0, 0, 0, 11, 181
"c:\Users\Boungo\Desktop\perso\levelUp\app\habit\[id].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 520, 0, 0, 7, 22, 549
"c:\Users\Boungo\Desktop\perso\levelUp\app\habit\archive.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 188, 0, 0, 0, 10, 198
"c:\Users\Boungo\Desktop\perso\levelUp\app\habit\create.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 208, 0, 0, 0, 12, 220
"c:\Users\Boungo\Desktop\perso\levelUp\app\habit\edit\[id].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 189, 0, 0, 0, 13, 202
"c:\Users\Boungo\Desktop\perso\levelUp\app\habit\history.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 320, 0, 0, 8, 25, 353
"c:\Users\Boungo\Desktop\perso\levelUp\app\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\Boungo\Desktop\perso\levelUp\app\onboarding.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 270, 0, 0, 6, 20, 296
"c:\Users\Boungo\Desktop\perso\levelUp\app\profile\[userId].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 274, 0, 0, 4, 24, 302
"c:\Users\Boungo\Desktop\perso\levelUp\app\profile\edit.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 162, 0, 0, 1, 15, 178
"c:\Users\Boungo\Desktop\perso\levelUp\app\settings.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 306, 0, 0, 7, 22, 335
"c:\Users\Boungo\Desktop\perso\levelUp\app\settings\contextual-mode.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 280, 0, 0, 10, 19, 309
"c:\Users\Boungo\Desktop\perso\levelUp\app\settings\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 273, 0, 0, 7, 19, 299
"c:\Users\Boungo\Desktop\perso\levelUp\app\settings\theme.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 78, 0, 0, 0, 4, 82
"c:\Users\Boungo\Desktop\perso\levelUp\app\training\[id].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 396, 0, 0, 12, 29, 437
"c:\Users\Boungo\Desktop\perso\levelUp\app\training\deck\[id].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 349, 0, 0, 7, 22, 378
"c:\Users\Boungo\Desktop\perso\levelUp\app\weekly-recap.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 341, 0, 0, 8, 29, 378
"c:\Users\Boungo\Desktop\perso\levelUp\app\xp-journey.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 523, 0, 0, 19, 40, 582
"c:\Users\Boungo\Desktop\perso\levelUp\assets\samples\deck_javascript.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Boungo\Desktop\perso\levelUp\assets\samples\deck_spanish_b1.json", "JSON", 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 29
"c:\Users\Boungo\Desktop\perso\levelUp\assets\samples\session_fullbody.json", "JSON", 0, 0, 0, 47, 0, 0, 0, 0, 0, 1, 48
"c:\Users\Boungo\Desktop\perso\levelUp\assets\samples\session_hiit.json", "JSON", 0, 0, 0, 45, 0, 0, 0, 0, 0, 1, 46
"c:\Users\Boungo\Desktop\perso\levelUp\babel.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\Boungo\Desktop\perso\levelUp\docs\adr\001-stack-technique.md", "Markdown", 0, 0, 26, 0, 0, 0, 0, 0, 0, 10, 36
"c:\Users\Boungo\Desktop\perso\levelUp\docs\app-store\metadata.md", "Markdown", 0, 0, 33, 0, 0, 0, 0, 0, 0, 22, 55
"c:\Users\Boungo\Desktop\perso\levelUp\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\Boungo\Desktop\perso\levelUp\jest.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 15, 0, 1, 1, 17
"c:\Users\Boungo\Desktop\perso\levelUp\package-lock.json", "JSON", 0, 0, 0, 16142, 0, 0, 0, 0, 0, 1, 16143
"c:\Users\Boungo\Desktop\perso\levelUp\package.json", "JSON", 0, 0, 0, 56, 0, 0, 0, 0, 0, 1, 57
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\auth\__tests__\auth-store.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 64, 2, 16, 82
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\auth\components\auth-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 114, 0, 0, 0, 10, 124
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\auth\hooks\use-auth.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 15, 0, 3, 18
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\auth\stores\auth-store.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 55, 0, 9, 64
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\avatar\components\avatar-display.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 62, 0, 0, 0, 8, 70
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\avatar\renderer\pixel-avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 245, 0, 0, 34, 25, 304
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\avatar\utils\avatar-evolution.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 28, 0, 4, 32
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\daily-quests\__tests__\daily-quest-card.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 112, 0, 0, 0, 20, 132
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\daily-quests\__tests__\daily-quests-store.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 219, 6, 44, 269
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\daily-quests\components\daily-quest-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 204, 0, 0, 5, 12, 221
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\daily-quests\components\daily-quests-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 110, 0, 0, 1, 10, 121
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\daily-quests\hooks\use-daily-quests.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 20, 0, 4, 24
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\daily-quests\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 17
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\daily-quests\stores\daily-quests-store.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 148, 10, 29, 187
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\duels\__tests__\attacks.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 35, 0, 7, 42
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\duels\__tests__\combat-engine.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 94, 8, 15, 117
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\duels\stores\duel-store.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 175, 11, 37, 223
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\duels\utils\attacks.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 27, 5, 3, 35
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\duels\utils\combat-engine.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 104, 9, 20, 133
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\gamification\components\achievement-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 148, 0, 0, 0, 8, 156
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\gamification\components\xp-bar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 56, 0, 0, 0, 4, 60
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\gamification\hooks\use-profile-stats.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 47, 0, 10, 57
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\gamification\stores\achievements-store.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 210, 12, 40, 262
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\gamification\stores\level-up-store.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 16, 0, 5, 21
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\gamification\stores\profile-store.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 27, 1, 8, 36
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\__tests__\burnout-detector.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 116, 14, 15, 145
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\__tests__\habits-store.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 86, 2, 16, 104
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\__tests__\punishment.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 26, 0, 6, 32
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\__tests__\streak-calculator.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 68, 0, 15, 83
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\__tests__\streak-freeze.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 56, 4, 12, 72
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\__tests__\xp-formula.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 96, 0, 25, 121
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\components\content-picker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 394, 0, 0, 8, 21, 423
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\components\habit-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 220, 0, 0, 2, 11, 233
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\components\habit-checklist.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 147, 0, 0, 3, 9, 159
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\components\habit-list.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 123, 0, 0, 0, 9, 132
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\components\habit-timer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 230, 0, 0, 5, 20, 255
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\components\monthly-heatmap.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 98, 0, 0, 0, 7, 105
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\habits\components\weekly-chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 89, 0, 0, 1, 7, 97
